Modelo,Parámetros_Totales,Parámetros_Entrenables,Tamaño_MB,Memoria_CPU_MB,Memoria_GPU_MB,Inferencia_ms,FLOPs,Precisión_Olimpiadas,Puntuación_MCTS,Tiempo_Optimización_s
DeepSeek-V3,1550312,1550312,5.913970947265625,2.796875,0.0,2.839326858520508,408944640,0.0,0.2581729645210677,0.24949336051940918
Viral-Clipper,21430531,21430531,81.7509880065918,0.0,0.0,0.05435943603515625,513146880,0.0,0.08118901051092546,0.22127652168273926
Brand-Analyzer,9476347,9476347,36.14939498901367,0.0,0.0,0.034332275390625,254115840,0.0,0.21639900610209034,0.2853217124938965
Qwen-Optimized,1243820544,1243820544,4744.799560546875,3.3203125,0.0,17.8525447845459,408944640,0.0,0.08294977306896986,0.20018529891967773
